gadm_id0_1	gadm_id1_1	gadm_id0_2	gadm_id1_2	n
106	30	106	32	2
106	30	106	33	2
106	30	136	1	5
106	30	136	2	1
106	30	136	9	4
106	30	136	12	14
106	30	154	8	1
106	30	177	40	1
106	30	177	47	1
106	30	226	3	1
106	31	106	2	1
106	31	106	4	1
106	31	106	5	1
106	31	106	8	6
106	31	106	9	2
106	31	106	10	11
106	31	106	12	1
106	31	106	13	1
106	31	106	14	1
106	31	106	16	1
106	31	106	18	1
106	31	106	26	2
106	31	106	30	1
106	31	106	32	2
106	31	106	33	2
106	31	136	1	2
106	31	136	6	1
106	31	136	7	1
106	31	136	8	1
106	31	136	9	1
106	31	136	12	5
106	32	106	1	1
106	32	106	2	3
106	32	106	4	1
106	32	106	6	1
106	32	106	8	20
106	32	106	10	22
106	32	106	11	8
106	32	106	12	7
106	32	106	13	2
106	32	106	15	2
106	32	106	16	2
106	32	106	18	1
106	32	106	21	2
106	32	106	24	1
106	32	106	26	4
106	32	106	27	1
106	32	106	30	2
106	32	106	31	2
106	32	106	33	3
106	32	136	1	2
106	32	136	9	2
106	32	136	10	3
106	32	136	12	19
106	32	177	28	1
106	32	177	52	1
106	32	203	0	2
106	32	226	3	2
106	32	226	35	1
106	32	226	36	1
106	33	106	1	4
106	33	106	2	2
106	33	106	4	3
106	33	106	7	2
106	33	106	8	55
106	33	106	10	47
106	33	106	11	26
106	33	106	12	33
106	33	106	13	1
106	33	106	15	1
106	33	106	16	1
106	33	106	18	1
106	33	106	21	1
106	33	106	22	1
106	33	106	23	1
106	33	106	24	3
106	33	106	26	2
106	33	106	27	1
106	33	106	28	1
106	33	106	29	7
106	33	106	30	2
106	33	106	31	2
106	33	106	32	3
106	33	136	1	7
106	33	136	2	1
106	33	136	3	6
106	33	136	4	4
106	33	136	6	2
106	33	136	9	2
106	33	136	11	1
106	33	136	12	40
106	33	136	13	2
106	33	154	14	2
106	33	177	47	8
106	33	203	0	13
106	33	226	3	1
106	33	226	9	1
106	33	226	16	2
106	33	226	65	2
106	33	247	2	3
106	33	247	4	2
123	4	123	12	1
123	4	123	13	3
123	4	226	28	1
123	4	226	35	1
123	6	123	13	4
123	6	226	3	1
123	7	123	11	1
123	7	123	13	1
123	8	39	16	1
123	8	106	10	2
123	8	123	13	10
123	8	136	10	1
123	8	177	47	1
123	8	203	0	1
123	8	226	3	1
123	8	226	16	2
123	8	226	45	1
123	8	247	4	1
123	11	123	7	1
123	11	123	13	2
123	11	226	3	1
123	12	123	4	1
123	12	123	13	10
123	12	154	14	1
123	12	226	3	4
123	12	226	43	1
123	12	247	2	2
123	12	247	5	1
123	12	247	6	1
123	13	39	11	1
123	13	39	16	29
123	13	39	21	1
123	13	106	7	1
123	13	106	8	8
123	13	106	10	6
